URL,Time,Company Name,Positions,Location,Job Type,Salary Range,Benefits,Required Skills,Additional Requirements,Work Environment,Application Instructions,Is Remote,Is Remote in US,Is Remote Global,Timezone,Industry,Startup Series,Is ML,Is Datacenter,Years of Experience,Job Description,Original Text
https://news.ycombinator.com/item?id=40846920,2024-07-01 11:44:52,Make Waves,"Lead Developer, Marketing Manager","Amsterdam, NL",Full Time,,"Stable job, Great growth potential",,"Able to join in the office weekly, No relocation or visa sponsorship offered",Hybrid,Check out https://kb.makewaves.fm/general/careers for more details.,False,False,False,,Music Technology,Series A,False,False,,"Make Waves is building a platform for independent artists to release their music and build a following. They provide easy-to-understand tools and insights to empower DIY artists to control their careers. The company is entering a growth and maturity phase and has secured funding for the next three to four years. They are looking for a lead developer with potential to transition into a CTO role, and a marketing manager.","Make Waves | <a href=""https:&#x2F;&#x2F;makewaves.fm"" rel=""nofollow"">https:&#x2F;&#x2F;makewaves.fm</a> | Lead developer &amp; Marketing Manager | FULLTIME | ONSITE &#x2F; HYBRID (&gt;= one day in the office a week) | Amsterdam, NL<p>Make Waves was founded in 2021 by two brothers with a track record in the music and tech industry. We’re building a kinder, more helpful platform for independent artists to release their music and build a following. By providing artists with easy-to-understand tools and insights in a notoriously over-complicated industry, we want to empower DIY artists to control their careers without making concessions.<p>In the last years we’ve built the platform from the ground up and are now entering a phase where we’re focusing on growth and maturity. We’ve also secured funding for the next three to four years, so we can provide a stable job with great growth potential.<p>We are actively looking for a lead developer (with a hope you can transition into a CTO role in the near future) and a marketing manager. Unfortunately we can’t offer relocation or visa sponsorship and are only considering candidates that are able to join us in the office weekly.<p>Check out <a href=""https:&#x2F;&#x2F;kb.makewaves.fm&#x2F;general&#x2F;careers"" rel=""nofollow"">https:&#x2F;&#x2F;kb.makewaves.fm&#x2F;general&#x2F;careers</a> for more details."
https://news.ycombinator.com/item?id=40850294,2024-07-01 16:29:09,MTA (Metropolitan Transportation Authority),"Product Manager, Software Engineer",NYC,Full Time,,,,,3x/week in office (onsite),Contact wfisher [at] mtahq [dot] org,False,False,False,,Public Transportation,Unknown,False,False,,"Our team works on all the (non-ad) screens in the subway, as well as two apps (TrainTime and the MTA app) and our website. We're a team of 20, mostly engineers, a few PMs and a designer. We operate like a startup within the MTA and are responsible for all customer-facing digital endpoints.","MTA (... trains and buses) | Full-time | NYC | 3x&#x2F;week in office (onsite)<p>We&#x27;re hiring one product manager and one software engineer.<p>Our team works on all the (non-ad) screens in the subway, as well as two apps (TrainTime and the MTA app) and our website. We&#x27;re a team of 20, mostly engineers, a few PMs and a designer. We operate like a startup within the MTA and are responsible for all customer-facing digital endpoints.<p>See one of our products here: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;mta-traintime&#x2F;id1104885987"" rel=""nofollow"">https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;mta-traintime&#x2F;id1104885987</a><p>wfisher [at] mtahq [dot] org"
https://news.ycombinator.com/item?id=40846503,2024-07-01 11:07:24,Quatt.io,"Medior QA / Test automation engineer, Senior app developer (React native), Senior Backend developer (Typescript), Medior Full-stack developer (Typescript), DevOps Engineer","Amsterdam, Netherlands",Full Time,,Opportunity to have impact on climate change,"Typescript, React Native",Must be allowed to work in the EU,Hybrid/ONSITE,Apply via the career page at https://www.quatt.io/working-at-quatt or email directly at my-hacker-news-username@quatt.io for questions,False,False,False,,climate tech,Unknown,False,False,,Quatt.io is a quickly growing startup/scaleup building heatpumps to help fix climate change. They are building the most accessible and smartest heatpump on the market. The product is live with thousands of customers and tons of data. The company believes having the best software will allow them to have the best product. Their backend and frontend is Typescript. The software team is still small but growing quickly.,"Quatt.io | Amsterdam, Netherlands | Full-time | Hybrid&#x2F;ONSITE | <a href=""https:&#x2F;&#x2F;quatt.io"" rel=""nofollow"">https:&#x2F;&#x2F;quatt.io</a> | climate tech<p>I&#x27;m head of Software at Quatt, a quickly growing startup&#x2F;scaleup building heatpumps to help fix climate change. Heating and cooling is 50% of all energy used in the EU. Heat pumps save 10 times more CO2 for each Euro spent on them compared to electric cars. We&#x27;re building the most accessible and smartest heatpump on the market. Our product is live, we have thousands of customers, tons of data, and I really like the impact we&#x27;re having. I&#x27;m currently looking for a few roles for my department, as we believe having the best software will allow us to have the best product. Our backend and frontend is Typescript.<p><pre><code>  * Medior QA &#x2F; Test automation engineer
  * Senior app developer (React native)
  * Senior Backend developer (Typescript)
  * Medior Full-stack developer (Typescript)
  * DevOps Engineer
</code></pre>
Now is a great time to join, as the software team is still small but growing quickly. These and other vacancies are on our careers page: <a href=""https:&#x2F;&#x2F;www.quatt.io&#x2F;working-at-quatt"" rel=""nofollow"">https:&#x2F;&#x2F;www.quatt.io&#x2F;working-at-quatt</a> Email me directly ( my-hacker-news-username@quatt.io ) for questions or apply via the career page. Unfortunately, at this time, you have to be allowed to work in the EU: we&#x27;re not able to sponsor Visa"
https://news.ycombinator.com/item?id=40852706,2024-07-01 21:27:42,Antithesis,"Software Engineers, ML Research Scientists",Northern VA,Full Time,,"Fully funded medical, dental, and vision insurance, Unlimited vacation (with mandatory MINIMUM vacation time), Flexible hours","Problem-solving, Adaptability, Learning ability","Smart, Get things done, Joy to work with, Comfortable dealing with open-ended problems",ONSITE,Apply at https://antithesis.breezy.hr/,False,False,False,,Software Testing and Development,Unknown,True,False,,"Antithesis is using deterministic simulation, fuzzing, and novel ML techniques to improve software testing and increase developer velocity. They're doing things nobody has done before, so they don't need familiarity with any particular language, framework, or domain. They care about smart individuals who get things done, are a joy to work with, and are comfortable dealing with open-ended problems.","Antithesis | Software Engineers, ML Research Scientists | Northern VA | ONSITE | <a href=""https:&#x2F;&#x2F;antithesis.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;antithesis.com&#x2F;</a><p>Antithesis is using deterministic simulation, fuzzing, and novel ML techniques to improve software testing and increase developer velocity. For an idea of what we&#x27;re doing, see Will&#x27;s talk here: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=fFSPwJFXVlw"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=fFSPwJFXVlw</a> or read the Simulation Testing section of <a href=""https:&#x2F;&#x2F;www.foundationdb.org&#x2F;files&#x2F;fdb-paper.pdf"" rel=""nofollow"">https:&#x2F;&#x2F;www.foundationdb.org&#x2F;files&#x2F;fdb-paper.pdf</a>. Fully funded medical, dental, and vision insurance. Unlimited vacation (with mandatory MINIMUM vacation time). Flexible hours. Incredible, cohesive team with the hardest and most interesting problems to solve.<p>We&#x27;re doing things nobody has done before, so we don&#x27;t need familiarity with any particular language, framework, domain, or anything like that. Don&#x27;t care. What we do care about: you&#x27;re smart, get things done, a joy to work with, and are comfortable dealing with open-ended problems.<p>Apply at <a href=""https:&#x2F;&#x2F;antithesis.breezy.hr&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;antithesis.breezy.hr&#x2F;</a> (Don&#x27;t worry too much about which role you choose. We&#x27;re looking for engineers who are ready to learn, not those that know everything already!)<p>We&#x27;re also hiring for professional services roles. Feel free to ask about those."
https://news.ycombinator.com/item?id=40846969,2024-07-01 11:50:33,Umbra,"Spacecraft Operations, Mission Systems Architecture, Embedded Software Engineering, Corporate Counsel","Santa Barbara, Austin, Washington DC",Full Time,,,,,Onsite & Hybrid,Apply at https://umbralab.bamboohr.com/careers,False,False,False,,Space Technology,Unknown,False,False,Mid to Senior level,Umbra builds next-generation space systems that observe the Earth in unprecedented fidelity. Their mission is to deliver global omniscience. They are looking to fill a variety of mid- to senior-level roles to help build and create a new industry focused on providing high-quality commercial satellite data to address pressing global needs such as climate change and geopolitical risks.,"Umbra | Multiple roles | Onsite &amp; Hybrid (Santa Barbara, Austin, Washington DC) | <a href=""https:&#x2F;&#x2F;umbra.space&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;umbra.space&#x2F;</a><p>Umbra builds next-generation space systems that observe the Earth in unprecedented fidelity. Our mission: Deliver global omniscience.<p>To stay ahead of climate change, geopolitical risk, and other major crises, we need a global understanding of what is changing, where, and how fast. Umbra is built around the idea that by providing easy access to the highest quality commercial satellite data available, we can become an indispensable tool for the growing number of organizations monitoring the Earth. We empower our customers with the ability to create the solutions that inform, inspire, and address our planet’s most pressing needs. We’re helping to create a brand new industry that has never meaningfully existed before. To make our vision a reality, we&#x27;re gonna need some help.<p>We&#x27;re looking to fill a variety of mid- to senior-level roles, including openings in Spacecraft Operations, Mission Systems Architecture, Embedded Software Engineering, and Corporate Counsel. If you&#x27;re interested in helping us build, please apply at <a href=""https:&#x2F;&#x2F;umbralab.bamboohr.com&#x2F;careers"" rel=""nofollow"">https:&#x2F;&#x2F;umbralab.bamboohr.com&#x2F;careers</a>"
https://news.ycombinator.com/item?id=40930679,2024-07-10 15:40:11,Fleetio,"Sr SDET, Mobile, Quality Engineering Manager, Sr Application Security Engineer, Engineering Manager, Platform, Sr Software Engineer, R & A","USA, Canada & Mexico",Full Time,,"Competitive pay + equity + 5% ARR bonus, 401(k) + match, Health, vision & dental insurance, Remote first since 2012, 4 weeks PTO, Wellness fund, Professional development fund, Equipment stipend",,,Remote,https://www.fleetio.com/careers,True,True,False,,"SaaS, Fleet Management",Series C,False,False,,"Fleetio is a modern SaaS platform that helps thousands of organizations worldwide manage their fleet of vehicles and equipment. Founded in 2012, the company has 6k+ customers, 50+M in ARR, and 290+ employees. They are hiring for various roles in software development, quality engineering, and application security.","Fleetio | Full-time | 100% REMOTE - open to candidates in the USA, CANADA &amp; MEXICO (Pending role) | <a href=""https:&#x2F;&#x2F;www.fleetio.com&#x2F;careers"" rel=""nofollow"">https:&#x2F;&#x2F;www.fleetio.com&#x2F;careers</a> | Fleetio is a modern SaaS platform that helps thousands of organizations worldwide manage their fleet of vehicles and equipment. Founded in 2012, 2023 Series C, 6k+ customers, 50+M in ARR, 290+ employees, 4.5 rating on Glassdoor. Benefits: Competitive pay + equity + 5% ARR bonus, 401(k) + match, health, vision &amp; dental insurance, remote first since 2012, 4 weeks PTO, wellness fund, professional development fund, equipment stipend + more.<p>HIGHLIGHTED ROLES (More available on our careers site):<p>-- Sr SDET, Mobile (Just opened): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;ccdde7237us"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;ccdde7237us</a><p>-- Quality Engineering Manager (Just opened): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;8226fc9d7us"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;8226fc9d7us</a><p>-- Sr Application Security Engineer (Just opened): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;fd25f43e7us"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;fd25f43e7us</a><p>-- Engineering Manager, Platform: <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;a4fd822b7us"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;a4fd822b7us</a><p>-- Sr Software Engineer, R &amp; A: <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;08b68ea27us"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;08b68ea27us</a>"
https://news.ycombinator.com/item?id=40852504,2024-07-01 20:52:37,Electric Hydrogen,"Staff Data Engineer, Senior Data Engineer","San Carlos, CA; Natick, MA; or Hybrid Remote",Full Time,,"competitive salary, ISO, 401K with match","data processing, visualization, analytics, data science, networking, data ingestion, software development",Visa sponsorship available,Hybrid,"If interested, please reach out to me: rzhang at eh2.com",True,True,False,,Green Hydrogen Production,Series C,True,True,,"Electric Hydrogen builds the world's most powerful electrolyzer at 100MW using modular & integrated design to radically lower the cost of green hydrogen production and increase global adoption. The digital team works on everything from R&D to manufacturing and field services. Our 100MW plant has thousands of sensors sampling at 1hz - 5khz or more, requiring robust data processing, visualization, analytics & data science infrastructure. We deploy to some of the most remote regions on the planet with a product that needs to work reliably for decades, creating a unique challenge for networking, data ingestion & software development. Moreover, our Gigafactory and R&D labs are constantly collecting data for continuous improvements & scientific discoveries, all requiring different features & architecture to support and scale.","Electric Hydrogen | eh2.com | Staff Data Engineer, Senior Data Engineer | San Carlos, CA; Natick, MA; or Hybrid Remote | Full-time | Visa<p>Electric Hydrogen builds the world&#x27;s most powerful electrolyzer at 100MW using modular &amp; integrated design to radically lower the cost of green hydrogen production and increase global adoption. We just raised $380M in Series C financing, claiming the title of the first $1B green hydrogen start-up as recently covered by WSJ and TechCrunch.<p>The digital team works on everything from R&amp;D to manufacturing and field services. Our 100MW plant has thousands of sensors sampling at 1hz - 5khz or more, requiring robust data processing, visualization, analytics &amp; data science infrastructure. We deploy to some of the most remote regions on the planet with a product that needs to work reliably for decades, creating a unique challenge for networking, data ingestion &amp; software development. Moreover, our Gigafactory and R&amp;D labs are constantly collecting data for continuous improvements &amp; scientific discoveries, all requiring different features &amp; architecture to support and scale.<p>Benefits include competitive salary, ISO, 401K with match, and more.<p>- Staff or Senior Data Engineer: <a href=""https:&#x2F;&#x2F;eh2.com&#x2F;careers&#x2F;?gh_jid=4332005005"" rel=""nofollow"">https:&#x2F;&#x2F;eh2.com&#x2F;careers&#x2F;?gh_jid=4332005005</a><p>We have offices in Natick&#x2F;Boston, Devens, MA, San Carlos &amp; San Jose and support hybrid remote &amp; relocation. If interested, please reach out to me: rzhang at eh2.com"
https://news.ycombinator.com/item?id=40914069,2024-07-09 05:28:26,Comparis,Full Stack Developer (.NET & React),"Zurich, Switzerland",Full Time,,"Remote work option, Hybrid work option","Full Stack Development, .NET, React, Next.js, Azure, Cloud Computing",For hybrid position: ability to be in the office >= 1 day per week,Remote or Hybrid,Apply through the provided links for remote or hybrid positions,True,False,True,Europe/Zurich (+/- 2 hours),Comparison Platform,Unknown,False,True,,You join one of our scrum teams to build our web applications and help to pave our way to the cloud. You'll work on .NET backends and React (Next.js) frontends with the newer apps hosted on Azure and our legacy apps in our DC.,"Comparis | <a href=""https:&#x2F;&#x2F;www.comparis.ch"" rel=""nofollow"">https:&#x2F;&#x2F;www.comparis.ch</a> | Full Stack Developer (.NET &amp; React) | Full-Time (80-100%) | Remote or Hybrid (Zurich, Switzerland)<p>About Us:
comparis.ch is Switzerland’s leading comparison platform. For over 25 years, we’ve been comparing health insurers, telecom providers, banks and more and offer an online marketplace for cars and property. With 80 million visits annually, we are among the most visited Swiss websites<p>Role Overview:
You join one of our scrum teams to build our web applications and help to pave our way to the cloud. You’ll work on .NET backends and React (Next.js) frontends with the newer apps hosted on Azure and our legacy apps in our DC.<p>We have open positions with either fully remote or hybrid working mode. Fully remote is available in timezones +&#x2F;- 2 hours from Europe&#x2F;Zurich. For the hybrid position here in Zurich, we cannot offer relocation or visa sponsorship and expect people to be in the office &gt;= 1d per week.<p>More information here:<p>Remote: <a href=""https:&#x2F;&#x2F;www.comparis.ch&#x2F;people&#x2F;jobs&#x2F;detail&#x2F;1483471"" rel=""nofollow"">https:&#x2F;&#x2F;www.comparis.ch&#x2F;people&#x2F;jobs&#x2F;detail&#x2F;1483471</a><p>Hybrid: <a href=""https:&#x2F;&#x2F;www.comparis.ch&#x2F;people&#x2F;jobs&#x2F;detail&#x2F;1586371"" rel=""nofollow"">https:&#x2F;&#x2F;www.comparis.ch&#x2F;people&#x2F;jobs&#x2F;detail&#x2F;1586371</a>"
https://news.ycombinator.com/item?id=40852695,2024-07-01 21:27:05,Stainless,"Generalist Engineers, First AE",NYC,Full Time,,"Competitive salary, Competitive ownership stake","Software Engineering, API Development, REST API, SDK Development","Exceptionally productive, Thoughtful, Tasteful, Kind, Passion for making software development better",,Say hi: alex at stainlessapi.com,False,False,False,,Software Development,Series A,False,False,,"Stainless is building the platform for high-quality, easy-to-use APIs. Their first product is SDKs as a service. They are working on making it easy to build amazing REST APIs, bringing the benefits of GraphQL and gRPC to REST. The company is about 2 years old, with around 10 people, strong revenue, and backed by Sequoia. They are looking for exceptionally productive, thoughtful, tasteful, and kind people with a passion for making software development better for everyone. As one of the first ten engineers, you'll get autonomy to build great products, skilled peers, opportunity for tremendous impact, competitive salary, and a very competitive ownership stake.","Stainless | Generalist Engineers, First AE | NYC ONSITE | Full-time<p>Stainless is building the platform for high-quality, easy-to-use APIs. Our first product is SDKs as a service.<p>When you `npm install openai` or `pip install anthropic` or `go get …cloudflare`, for example, you’re downloading code that we generated. (I built the codegen system at Stripe for their SDKs, and am now building a better version for everyone.)<p>Next, we want to make it easy to build amazing REST APIs. REST is simple and ubiquitous, but right now it’s also messy, chaotic, and hard to get right. We’re going to build great open-source standards and tooling that bring the benefits of GraphQL (types, field selection&#x2F;expansion, standards) and gRPC (types, speed, versioning) to REST.<p>We’re ~2y old, ~10 people, have strong revenue (could choose to be profitable), and great customers (including OpenAI, Anthropic, and Cloudflare). We’re backed by Sequoia.<p>As one of our first ten engineers, you’ll get autonomy to build great products, skilled peers, opportunity for tremendous impact, competitive salary, and a very competitive ownership stake.<p>We’re looking for exceptionally productive, thoughtful, tasteful, and kind people with a passion for making software development better for everyone.<p>Want to build the future of API tooling? Say hi: alex at stainlessapi.com"
https://news.ycombinator.com/item?id=40847725,2024-07-01 12:59:17,MaFi Games,"Senior SWE, Game Developer",Remote,Full Time,$70-110k,"Multicultural, collaborative, and innovative work environment, Flexible working hours, Flexible vacation schedule, High work satisfaction","C#, Game Development, Desktop UI, 3D Graphics, Performance Optimizations",,Fully remote,"For detailed info and requirements, visit https://www.captain-of-industry.com/jobs",True,False,True,,,Unknown,False,False,Experienced,"MaFi Games, an indie studio behind the game Captain of Industry, is seeking an experienced software engineer to grow the team and accelerate progress. The ideal candidate should have a background in game development or experience in desktop UI, 3D graphics, and performance optimizations. The role involves working on a popular video game with a wonderful community, in a high-quality C# code base with code reviews and tests.","MaFi Games | Senior SWE&#x2F;game dev | Contract or full-time | $70-110k | Remote | C#<p>I’m the co-founder of MaFi Games – an indie studio behind the game Captain of Industry. We are a small but passionate team who gave up their jobs at Google&#x2F;Nvidia to pursue building the best factory simulation game possible, and we need more hands!<p>We are looking for an experienced software engineer to grow the team and accelerate our progress. We strongly prefer candidates with a background in game development or with experience in desktop UI, 3D graphics, and performance optimizations.<p>Some reasons you’d enjoy working with us:<p>* A multicultural, collaborative, and innovative work environment where your voice is heard.<p>* Fully remote job with flexible working hours and vacation schedule.<p>* High quality C# code base, code reviews, tests.<p>* High work satisfaction, work on a popular video game with a wonderful community.<p>As an example of our technical work see <a href=""https:&#x2F;&#x2F;www.captain-of-industry.com&#x2F;post&#x2F;cd-31"" rel=""nofollow"">https:&#x2F;&#x2F;www.captain-of-industry.com&#x2F;post&#x2F;cd-31</a>.<p>If interested, please see the detailed info and requirements at <a href=""https:&#x2F;&#x2F;www.captain-of-industry.com&#x2F;jobs"" rel=""nofollow"">https:&#x2F;&#x2F;www.captain-of-industry.com&#x2F;jobs</a>, thanks!<p>Note that this is a fully remote job and we are happy to consider candidates from any country around the world!"
